Method,Markers,runtime
Bisque,1vALL_top25,0.06666666666666667
Bisque,FULL,8.316666666666666
Bisque,MeanRatio_MAD3,0.11666666666666667
Bisque,MeanRatio_over2,0.11666666666666667
Bisque,MeanRatio_top25,0.05
MuSiC,1vALL_top25,71.96666666666667
MuSiC,cell_size_1,85.9
MuSiC,cell_size_2,86.06666666666666
MuSiC,cell_size_3,66.55
MuSiC,FULL,96.88333333333333
MuSiC,MeanRatio_MAD3,98.05000000000001
MuSiC,MeanRatio_over2,108.31666666666666
MuSiC,MeanRatio_top25,68.98333333333333
DWLS,1vALL_top25,1.8333333333333333
DWLS,FULL,3.9833333333333334
DWLS,MeanRatio_MAD3,5.816666666666666
DWLS,MeanRatio_over2,4.683333333333334
DWLS,MeanRatio_top25,1.2666666666666666
hspe,1vALL_top25,13.033333333333333
hspe,FULL,54.583333333333336
hspe,MeanRatio_MAD3,21.016666666666666
hspe,MeanRatio_over2,25.533333333333335
hspe,MeanRatio_top25,7.45
BayesPrism,1vALL_top25,0.016666666666666666
BayesPrism,FULL,0.1
BayesPrism,MeanRatio_MAD3,0.016666666666666666
BayesPrism,MeanRatio_over2,0
BayesPrism,MeanRatio_top25,0.016666666666666666
BayesPrism,NA,0.11666666666666667
CIBERSORTx,1vALL_top25,26.5
CIBERSORTx,FULL,88.4
CIBERSORTx,MeanRatio_MAD3,116.63333333333334
CIBERSORTx,MeanRatio_over2,62.733333333333334
CIBERSORTx,MeanRatio_top25,23.816666666666666
CIBERSORTx,test2,NA
