"","Gene","test.type","p_value","log2.mean.Cluster_Other","log2.mean.EndoMural","log2fold_change","Auc"
"64","ENSG00000164330","hurdle",0,-1.409997,2.853217,4.263214,0.884
"29","ENSG00000116016","hurdle",0,-2.189725,2.755873,4.945598,0.883
"34","ENSG00000123243","hurdle",0,-2.739892,2.387653,5.127545,0.877
"16","ENSG00000082438","hurdle",0,-0.3570987,2.9704117,3.3275104,0.863
"61","ENSG00000163453","hurdle",0,-2.125932,2.096163,4.222095,0.858
"6","ENSG00000054654","hurdle",0,-1.528267,1.798191,3.326458,0.829
"66","ENSG00000166710","hurdle",0,-1.522758,1.933391,3.456149,0.823
"44","ENSG00000137831","hurdle",0,-2.020069,1.482581,3.50265,0.821
"21","ENSG00000102755","hurdle",0,-2.254439,3.941114,6.195553,0.816
"45","ENSG00000137962","hurdle",0,-0.2482398,2.1935415,2.4417813,0.81
"51","ENSG00000143248","hurdle",0,-1.259711,2.11759,3.377301,0.806
"14","ENSG00000079308","hurdle",0,-1.708027,1.335031,3.043058,0.801
"81","ENSG00000206190","hurdle",0,-1.948372,3.152106,5.100478,0.795
"32","ENSG00000118777","hurdle",0,-2.766949,2.044568,4.811517,0.793
"80","ENSG00000204592","hurdle",0,-2.736346,1.230596,3.966942,0.787
"5","ENSG00000027075","hurdle",0,-1.804793,1.937238,3.742031,0.787
"59","ENSG00000158270","hurdle",0,-2.290127,2.499274,4.789401,0.785
"47","ENSG00000138795","hurdle",0,-1.387367,1.9017,3.289067,0.784
"82","ENSG00000213949","hurdle",0,-2.403234,1.023781,3.427015,0.779
"57","ENSG00000152818","hurdle",0,1.244009,2.832146,1.588137,0.778
"55","ENSG00000151491","hurdle",0,-0.7737936,2.3836859,3.1574795,0.775
"17","ENSG00000085276","hurdle",0,-2.826024,2.355995,5.182019,0.773
"28","ENSG00000115414","hurdle",0,-1.688966,1.264956,2.953922,0.772
"76","ENSG00000184113","hurdle",0,-2.991997,1.190131,4.182128,0.77
"58","ENSG00000157110","hurdle",0,-1.961456,1.189837,3.151293,0.767
"43","ENSG00000134954","hurdle",0,-1.738827,1.131807,2.870634,0.764
"24","ENSG00000110799","hurdle",0,-2.764058,1.547173,4.311231,0.76
"42","ENSG00000132530","hurdle",0,-2.7086344,0.7255637,3.4341981,0.758
"85","ENSG00000249669","hurdle",0,-3.12686,1.00624,4.1331,0.756
"84","ENSG00000241684","hurdle",0,0.4522096,1.8184342,1.3662246,0.755
"50","ENSG00000142089","hurdle",0,-2.7996954,0.7412532,3.5409486,0.755
"67","ENSG00000167693","hurdle",0,-1.610918,1.446226,3.057144,0.75
"8","ENSG00000069122","hurdle",0,-1.683236,1.188664,2.8719,0.75
"27","ENSG00000113721","hurdle",0,-1.665172,1.522008,3.18718,0.747
"11","ENSG00000074181","hurdle",0,-2.9994155,0.8708894,3.8703049,0.747
"4","ENSG00000026025","hurdle",0,-2.6434244,0.5291404,3.1725648,0.745
"38","ENSG00000128849","hurdle",0,-2.222463,1.434148,3.656611,0.743
"2","ENSG00000018408","hurdle",0,-1.318213,1.59777,2.915983,0.741
"1","ENSG00000011465","hurdle",0,-2.4484981,0.6849529,3.133451,0.741
"78","ENSG00000196569","hurdle",0,1.752943,3.166108,1.413165,0.74
"73","ENSG00000173706","hurdle",0,-2.006872,1.144872,3.151744,0.736
"18","ENSG00000085563","hurdle",0,-0.3069915,3.0486401,3.3556316,0.733
"72","ENSG00000173638","hurdle",0,-1.973198,1.43909,3.412288,0.727
"87","ENSG00000265972","hurdle",0,-2.400285,0.4781948,2.8784798,0.726
"30","ENSG00000117394","hurdle",0,-2.2469778,0.8973437,3.1443215,0.717
"22","ENSG00000103257","hurdle",0,-0.8214613,2.0928742,2.9143355,0.709
"36","ENSG00000128567","hurdle",0,-1.7846936,0.9585093,2.7432029,0.708
"26","ENSG00000113140","hurdle",0,-1.939069,0.3783058,2.3173748,0.708
"37","ENSG00000128641","hurdle",0,-0.3406844,1.5361452,1.8768296,0.707
"77","ENSG00000187720","hurdle",0,-0.08445814,2.34616293,2.43062107,0.7
"74","ENSG00000176641","hurdle",0,-1.319737,1.252377,2.572114,0.7
"12","ENSG00000076067","hurdle",0,-1.6627303,0.5571396,2.2198699,0.698
"33","ENSG00000122786","hurdle",3.87857127504047e-309,0.803744,2.218905,1.415161,0.691
"69","ENSG00000168918","hurdle",0,-1.7018754,0.9073632,2.6092386,0.683
"53","ENSG00000147526","hurdle",2.57293469245805e-235,1.681754,3.085195,1.403441,0.682
"70","ENSG00000169507","hurdle",2.89321708401405e-280,-0.09350275,1.54648594,1.63998869,0.681
"52","ENSG00000144824","hurdle",3.82998789950725e-315,-0.3850049,0.4829883,0.8679932,0.668
"19","ENSG00000100345","hurdle",6.47146893588192e-177,-0.1590179,0.9429375,1.1019554,0.659
"71","ENSG00000172270","hurdle",8.8379744924054e-298,0.2473372,1.7158842,1.468547,0.656
"79","ENSG00000198873","hurdle",2.56194044344596e-190,-0.3491897,0.9366614,1.2858511,0.655
"63","ENSG00000164181","hurdle",0,-0.5037942,1.5606129,2.0644071,0.653
"10","ENSG00000073849","hurdle",3.71348101757726e-180,0.5366118,2.0051243,1.4685125,0.646
"88","ENSG00000276644","hurdle",1.16981599928867e-146,0.9467864,1.64323,0.6964436,0.642
"65","ENSG00000165757","hurdle",1.93661757949064e-136,-0.06156462,0.94641245,1.00797707,0.634
"25","ENSG00000112902","hurdle",5.13122783346334e-147,0.3339635,0.8528564,0.5188929,0.632
"48","ENSG00000139514","hurdle",0,-0.4959779,1.4336529,1.9296308,0.627
"62","ENSG00000163788","hurdle",1.68798647841215e-122,0.166774,1.194229,1.027455,0.625
"35","ENSG00000127329","hurdle",3.43637165335722e-136,0.345889,1.588236,1.242347,0.622
"54","ENSG00000150938","hurdle",2.62630208776347e-98,0.854243,1.892722,1.038479,0.62
"31","ENSG00000117868","hurdle",6.56601267671612e-118,1.479044,2.664728,1.185684,0.617
"46","ENSG00000138185","hurdle",1.09351338011103e-165,-1.9209433,-0.3694373,1.551506,0.607
"9","ENSG00000073060","hurdle",1.96420960897656e-113,-0.1455218,0.8973437,1.0428655,0.607
"83","ENSG00000233927","hurdle",2.75491086899857e-85,0.5236197,1.3329087,0.809289,0.599
"60","ENSG00000161791","hurdle",8.86963351304584e-70,-0.640356,0.2156116,0.8559676,0.592
"68","ENSG00000168575","hurdle",7.78070221061645e-93,1.304766,2.199233,0.894467,0.59
"13","ENSG00000076555","hurdle",2.0533222174853e-75,-1.284031,-0.5862673,0.6977637,0.584
"41","ENSG00000132475","hurdle",3.8493974020474e-45,0.2402004,0.8149597,0.5747593,0.577
"49","ENSG00000139679","hurdle",1.03304259906107e-40,-1.6249471,-0.9203721,0.704575,0.557
"20","ENSG00000101096","hurdle",7.76180086270027e-70,-2.330858,-1.350808,0.98005,0.556
"56","ENSG00000152518","hurdle",7.16960920702329e-55,-2.117143,-1.47918,0.637963,0.554
"40","ENSG00000130203","hurdle",1.7138501404512e-25,-1.2120833,-0.5683045,0.6437788,0.546
"23","ENSG00000106034","hurdle",5.37165659589314e-47,-1.967991,-1.318755,0.649236,0.546
"86","ENSG00000254087","hurdle",8.80854633894273e-49,-2.286751,-1.563651,0.7231,0.545
"7","ENSG00000065320","hurdle",2.2621943122467e-24,-1.835287,-1.302166,0.533121,0.539
"39","ENSG00000130066","hurdle",4.16726961954533e-17,0.1347227,0.6761896,0.5414669,0.538
"75","ENSG00000182578","hurdle",2.23408909911673e-50,-2.510744,-1.959247,0.551497,0.536
"3","ENSG00000019582","hurdle",1.08329237361999e-25,-2.60638,-2.031236,0.575144,0.528
"15","ENSG00000081237","hurdle",1.09467969713686e-39,-2.580399,-1.473597,1.106802,0.511
