"","Gene","test.type","p_value","log2.mean.Cluster_Other","log2.mean.Oligo","log2fold_change","Auc"
"245","ENSG00000259070","hurdle",0,-2.349797,1.060518,3.410315,0.78
"228","ENSG00000227088","hurdle",0,-1.723578,2.018795,3.742373,0.779
"188","ENSG00000173786","hurdle",0,-1.009864,1.286775,2.296639,0.778
"243","ENSG00000257585","hurdle",0,-0.8003324,1.9031034,2.7034358,0.774
"61","ENSG00000107317","hurdle",0,0.1625353,1.6815275,1.5189922,0.773
"39","ENSG00000086205","hurdle",0,-2.8446955,0.5828774,3.4275729,0.767
"37","ENSG00000084453","hurdle",0,-1.887211,0.721125,2.608336,0.767
"149","ENSG00000158865","hurdle",0,-2.392727,1.535176,3.927903,0.763
"122","ENSG00000141338","hurdle",0,-2.6131442,0.5917798,3.204924,0.762
"217","ENSG00000196187","hurdle",0,-2.4636293,0.5937116,3.0573409,0.761
"137","ENSG00000150760","hurdle",0,-0.5677434,1.3579925,1.9257359,0.761
"89","ENSG00000124920","hurdle",0,-2.6965037,0.3387699,3.0352736,0.761
"64","ENSG00000108381","hurdle",0,-2.6852562,0.4539458,3.139202,0.761
"44","ENSG00000099194","hurdle",0,-0.9581858,1.208309,2.1664948,0.759
"208","ENSG00000186417","hurdle",0,-1.127893,1.219101,2.346994,0.757
"58","ENSG00000105695","hurdle",0,-2.6960931,0.2078734,2.9039665,0.752
"7","ENSG00000011426","hurdle",0,-2.209453,0.5924826,2.8019356,0.751
"77","ENSG00000117266","hurdle",0,-0.9992528,1.1071857,2.1064385,0.75
"128","ENSG00000146592","hurdle",0,-0.05446593,1.74176746,1.79623339,0.745
"218","ENSG00000197430","hurdle",0,-2.7203083,0.3976577,3.117966,0.744
"8","ENSG00000012124","hurdle",0,-2.9367542,0.2043145,3.1410687,0.743
"254","ENSG00000286749","hurdle",0,-1.358484,2.098232,3.456716,0.742
"145","ENSG00000154864","hurdle",0,-1.7692698,0.8130118,2.5822816,0.741
"95","ENSG00000127946","hurdle",0,-0.296971,1.423541,1.720512,0.737
"177","ENSG00000169247","hurdle",0,-2.8646257,0.3108569,3.1754826,0.736
"155","ENSG00000162944","hurdle",0,-1.521035,0.717586,2.238621,0.736
"204","ENSG00000183580","hurdle",0,0.8514221,1.8709156,1.0194935,0.734
"111","ENSG00000136541","hurdle",0,-2.5914124,0.1459064,2.7373188,0.733
"84","ENSG00000122367","hurdle",0,-2.253173,0.4040771,2.6572501,0.733
"120","ENSG00000140479","hurdle",0,-0.5495974,1.4446151,1.9942125,0.732
"29","ENSG00000075651","hurdle",0,-1.03249,1.058548,2.091038,0.732
"13","ENSG00000028116","hurdle",0,-2.3585409,0.6946133,3.0531542,0.73
"253","ENSG00000285051","hurdle",0,-0.663016,1.73283,2.395846,0.728
"79","ENSG00000118322","hurdle",0,-1.601593,0.731531,2.333124,0.728
"105","ENSG00000135362","hurdle",0,-2.3343808,0.5369751,2.8713559,0.727
"173","ENSG00000167191","hurdle",0,-0.8030375,0.7943486,1.5973861,0.725
"123","ENSG00000141540","hurdle",0,-2.3515735,0.1969394,2.5485129,0.725
"126","ENSG00000145794","hurdle",0,-1.2199864,0.7378976,1.957884,0.724
"232","ENSG00000228793","hurdle",0,-2.449029,1.130359,3.579388,0.723
"18","ENSG00000064393","hurdle",0,0.5455761,1.8187893,1.2732132,0.723
"22","ENSG00000066468","hurdle",0,-0.4584806,1.2144855,1.6729661,0.722
"53","ENSG00000102934","hurdle",0,-2.312977,0.095235,2.408212,0.721
"11","ENSG00000019144","hurdle",0,-1.5207622,0.5429865,2.0637487,0.721
"23","ENSG00000070214","hurdle",0,1.954094,3.182618,1.228524,0.72
"36","ENSG00000081913","hurdle",0,1.359574,2.873892,1.514318,0.719
"47","ENSG00000100142","hurdle",0,-0.2639671,1.4582706,1.7222377,0.718
"230","ENSG00000227115","hurdle",0,-1.7348136,0.6600821,2.3948957,0.716
"162","ENSG00000165424","hurdle",0,-1.768838,0.1601984,1.9290364,0.712
"206","ENSG00000184144","hurdle",0,-0.9397218,0.7009816,1.6407034,0.71
"160","ENSG00000164176","hurdle",0,1.924798,2.872048,0.94725,0.71
"175","ENSG00000168297","hurdle",0,0.4421439,1.9742927,1.5321488,0.708
"186","ENSG00000172005","hurdle",0,-2.729311,-0.143962,2.585349,0.705
"241","ENSG00000253807","hurdle",0,-1.559444,1.096078,2.655522,0.703
"20","ENSG00000065361","hurdle",0,-2.6544213,-0.1642978,2.4901235,0.703
"192","ENSG00000176485","hurdle",0,-1.4945565,0.3529412,1.8474977,0.702
"187","ENSG00000172508","hurdle",0,-2.6166363,-0.1561586,2.4604777,0.699
"132","ENSG00000148180","hurdle",0,-0.9437369,0.7377388,1.6814757,0.698
"248","ENSG00000262223","hurdle",0,-2.6429024,-0.1102645,2.5326379,0.697
"134","ENSG00000149633","hurdle",0,-2.3590282,-0.1082646,2.2507636,0.696
"9","ENSG00000012171","hurdle",0,-2.5150212,-0.2315858,2.2834354,0.696
"226","ENSG00000213186","hurdle",0,-2.724698,-0.117286,2.607412,0.695
"158","ENSG00000164161","hurdle",0,-0.439931,1.126603,1.566534,0.694
"147","ENSG00000157483","hurdle",0,-1.0624703,0.6442397,1.70671,0.694
"104","ENSG00000134851","hurdle",0,0.5816819,2.0194481,1.4377662,0.692
"174","ENSG00000167641","hurdle",0,-2.446265,-0.165634,2.280631,0.691
"35","ENSG00000081479","hurdle",0,-2.6698572,0.1752887,2.8451459,0.69
"159","ENSG00000164171","hurdle",0,-2.81899002,0.07199021,2.89098023,0.685
"178","ENSG00000169504","hurdle",0,-1.708802,0.1126098,1.8214118,0.683
"133","ENSG00000148826","hurdle",0,-2.8949292,-0.4403494,2.4545798,0.683
"181","ENSG00000170775","hurdle",0,-2.01783909,-0.08125366,1.93658543,0.682
"25","ENSG00000071991","hurdle",0,-2.8268335,-0.2948372,2.5319963,0.682
"240","ENSG00000250722","hurdle",0,-2.4577019,-0.2113591,2.2463428,0.68
"73","ENSG00000115468","hurdle",0,-2.004434371,0.009819318,2.014253689,0.679
"62","ENSG00000107331","hurdle",0,-0.5617005,0.7130691,1.2747696,0.679
"200","ENSG00000181722","hurdle",0,2.155601,2.854944,0.699343,0.674
"75","ENSG00000116574","hurdle",0,-2.3114044,-0.3067457,2.0046587,0.673
"67","ENSG00000109846","hurdle",0,-1.3203375,0.3141627,1.6345002,0.667
"2","ENSG00000005893","hurdle",0,-0.2829541,0.893205,1.1761591,0.667
"211","ENSG00000187164","hurdle",0,1.830681,2.572825,0.742144,0.666
"41","ENSG00000092529","hurdle",0,-1.8926107,-0.1102645,1.7823462,0.666
"225","ENSG00000207955","hurdle",0,-2.9365118,-0.5694067,2.3671051,0.664
"70","ENSG00000112851","hurdle",0,1.080638,2.163507,1.082869,0.663
"185","ENSG00000171840","hurdle",0,-2.7068053,-0.2133537,2.4934516,0.662
"100","ENSG00000132199","hurdle",0,-1.324932,0.1643404,1.4892724,0.662
"81","ENSG00000118785","hurdle",0,-1.9663124,-0.2547838,1.7115286,0.662
"152","ENSG00000160307","hurdle",0,-1.8890872,-0.1684591,1.7206281,0.66
"87","ENSG00000124126","hurdle",0,-0.3880318,0.671934,1.0599658,0.66
"92","ENSG00000126822","hurdle",0,-2.0971939,-0.3190837,1.7781102,0.659
"27","ENSG00000073417","hurdle",0,1.276093,2.323633,1.04754,0.659
"26","ENSG00000072864","hurdle",0,-2.4369739,-0.3947164,2.0422575,0.658
"161","ENSG00000164627","hurdle",0,-1.0973498,0.4503642,1.547714,0.657
"66","ENSG00000109099","hurdle",0,-2.174577,-0.3782706,1.7963064,0.657
"31","ENSG00000078269","hurdle",0,0.3959321,1.2192713,0.8233392,0.657
"3","ENSG00000006042","hurdle",0,-2.857263,-0.4815439,2.3757191,0.656
"96","ENSG00000129422","hurdle",0,0.09318165,1.16260218,1.06942053,0.654
"219","ENSG00000197892","hurdle",0,-0.1871746,1.0553657,1.2425403,0.653
"76","ENSG00000117115","hurdle",0,-1.9338835,-0.3901968,1.5436867,0.652
"233","ENSG00000232310","hurdle",0,-2.5715084,-0.1617771,2.4097313,0.65
"135","ENSG00000150510","hurdle",0,-0.9072846,0.3819914,1.289276,0.648
"231","ENSG00000227392","hurdle",0,-2.9795783,-0.6518989,2.3276794,0.646
"246","ENSG00000260788","hurdle",0,-2.4991777,-0.3240485,2.1751292,0.645
"74","ENSG00000115935","hurdle",0,-1.52777675,-0.05515187,1.47262488,0.644
"141","ENSG00000152689","hurdle",0,-1.959029,-0.2072253,1.7518037,0.643
"252","ENSG00000275832","hurdle",0,-0.9686223,0.2307378,1.1993601,0.642
"183","ENSG00000171316","hurdle",0,-0.7421213,0.3113906,1.0535119,0.642
"179","ENSG00000170271","hurdle",0,-1.45061221,-0.06273929,1.38787292,0.642
"50","ENSG00000101265","hurdle",0,-2.3467324,-0.6009959,1.7457365,0.641
"247","ENSG00000261329","hurdle",0,-2.3808013,-0.5396489,1.8411524,0.64
"163","ENSG00000165478","hurdle",0,-2.0258131,-0.5887948,1.4370183,0.64
"69","ENSG00000112561","hurdle",0,-2.0396793,-0.4369391,1.6027402,0.64
"198","ENSG00000180891","hurdle",0,-1.26197952,0.07009921,1.33207873,0.639
"150","ENSG00000159176","hurdle",0,-1.7173164,-0.3947164,1.3226,0.639
"107","ENSG00000135821","hurdle",0,-0.4190314,0.3468105,0.7658419,0.639
"227","ENSG00000224924","hurdle",0,-0.6760122,0.2349075,0.9109197,0.638
"34","ENSG00000080822","hurdle",0,-0.4896255,0.5520473,1.0416728,0.638
"106","ENSG00000135678","hurdle",0,-2.1442996,-0.4080094,1.7362902,0.636
"237","ENSG00000241345","hurdle",0,-3.1493066,-0.6732806,2.476026,0.635
"46","ENSG00000099954","hurdle",0,-1.295326,-0.0746838,1.2206422,0.635
"42","ENSG00000092871","hurdle",0,-0.2962708,0.8530792,1.14935,0.635
"121","ENSG00000140848","hurdle",0,-2.3009101,-0.7131058,1.5878043,0.634
"223","ENSG00000204278","hurdle",0,-3.128939,-1.026894,2.102045,0.633
"65","ENSG00000108387","hurdle",0,-0.97857316,-0.00498799,0.97358517,0.632
"112","ENSG00000136867","hurdle",0,-2.7244887,-0.8676343,1.8568544,0.631
"118","ENSG00000139737","hurdle",0,1.004921,1.943671,0.93875,0.63
"56","ENSG00000104267","hurdle",0,-1.8812488,-0.3917597,1.4894891,0.629
"169","ENSG00000166348","hurdle",0,0.3096907,1.1963962,0.8867055,0.628
"71","ENSG00000112893","hurdle",0,2.050922,2.667497,0.616575,0.627
"45","ENSG00000099282","hurdle",0,-2.5917942,-0.8460488,1.7457454,0.627
"244","ENSG00000258342","hurdle",0,-2.0276199,-0.1555684,1.8720515,0.625
"164","ENSG00000165566","hurdle",0,-0.4153944,0.4913551,0.9067495,0.625
"12","ENSG00000021300","hurdle",0,-2.2619567,-0.8200979,1.4418588,0.625
"60","ENSG00000107104","hurdle",0,-0.302702,0.4839883,0.7866903,0.624
"189","ENSG00000173988","hurdle",0,-2.735625,-0.616546,2.119079,0.622
"144","ENSG00000154642","hurdle",0,-2.3569175,-0.8028989,1.5540186,0.622
"194","ENSG00000177807","hurdle",0,-2.2357643,-0.8479545,1.3878098,0.617
"146","ENSG00000155849","hurdle",0,2.419413,2.962968,0.543555,0.616
"88","ENSG00000124251","hurdle",0,-1.5920138,-0.3763784,1.2156354,0.615
"57","ENSG00000104419","hurdle",0,-1.0672406,-0.2604834,0.8067572,0.614
"5","ENSG00000010278","hurdle",0,-2.5476101,-0.9746908,1.5729193,0.614
"139","ENSG00000151552","hurdle",0,0.2213369,0.9589236,0.7375867,0.613
"51","ENSG00000102271","hurdle",0,-0.4259502,0.4859754,0.9119256,0.613
"15","ENSG00000049089","hurdle",0,-2.7201,-1.090615,1.629485,0.612
"238","ENSG00000244274","hurdle",0,-1.187308,-0.0795734,1.1077346,0.611
"98","ENSG00000130147","hurdle",0,-2.4435056,-0.9481305,1.4953751,0.611
"236","ENSG00000237949","hurdle",0,-2.72177,-1.00866,1.71311,0.61
"80","ENSG00000118515","hurdle",1.53867654589373e-317,0.7359892,1.3053268,0.5693376,0.609
"110","ENSG00000136098","hurdle",0,-2.2615011,-0.8582409,1.4032602,0.608
"24","ENSG00000070759","hurdle",0,-0.80763128,0.05232931,0.85996059,0.608
"28","ENSG00000075539","hurdle",1.6020195980019e-292,1.592956,2.24759,0.654634,0.607
"202","ENSG00000182957","hurdle",0,-0.4897589,0.2628799,0.7526388,0.606
"93","ENSG00000126860","hurdle",0,-2.698558,-1.108779,1.589779,0.606
"140","ENSG00000152558","hurdle",0,-1.9133381,-0.7092034,1.2041347,0.605
"255","ENSG00000287706","hurdle",0,-2.782142,-1.122841,1.659301,0.603
"117","ENSG00000139438","hurdle",0,-2.0592131,-0.7527222,1.3064909,0.603
"102","ENSG00000132702","hurdle",0,-2.1958945,-0.7987462,1.3971483,0.603
"97","ENSG00000129538","hurdle",0,-2.600604,-1.14171,1.458894,0.601
"78","ENSG00000117707","hurdle",0,-1.6035168,-0.8491469,0.7543699,0.601
"33","ENSG00000080815","hurdle",9.79622100729089e-286,0.3981208,1.0737907,0.6756699,0.601
"119","ENSG00000140262","hurdle",6.64059082456553e-257,1.971827,2.613058,0.641231,0.6
"48","ENSG00000100146","hurdle",0,-2.439892,-1.104786,1.335106,0.6
"212","ENSG00000187764","hurdle",2.09759768395732e-244,0.5422307,1.1200988,0.5778681,0.597
"125","ENSG00000143995","hurdle",0,-1.3762148,-0.2870602,1.0891546,0.597
"196","ENSG00000179455","hurdle",0,-1.6503693,-0.5975852,1.0527841,0.596
"195","ENSG00000178764","hurdle",2.32028601087295e-274,-0.1464678,0.3734296,0.5198974,0.594
"180","ENSG00000170537","hurdle",0,-1.5602848,-0.5504695,1.0098153,0.594
"49","ENSG00000100242","hurdle",8.25089628554882e-322,-1.1510568,-0.3377071,0.8133497,0.594
"165","ENSG00000165795","hurdle",0,-1.2342212,-0.5619583,0.6722629,0.593
"94","ENSG00000126878","hurdle",0,-2.639938,-1.327634,1.312304,0.593
"239","ENSG00000249306","hurdle",0,-2.210479,-1.112496,1.097983,0.592
"109","ENSG00000135929","hurdle",0,-2.2295126,-0.9653519,1.2641607,0.592
"14","ENSG00000035664","hurdle",0,-1.2767136,-0.5174896,0.759224,0.592
"91","ENSG00000126803","hurdle",0,-2.768266,-1.336302,1.431964,0.591
"52","ENSG00000102760","hurdle",0,-1.9372757,-0.9137935,1.0234822,0.591
"207","ENSG00000184221","hurdle",0,-2.403243,-1.275729,1.127514,0.59
"115","ENSG00000139292","hurdle",0,-2.0001204,-0.8620872,1.1380332,0.589
"209","ENSG00000187098","hurdle",0,-0.7816463,-0.1906562,0.5909901,0.587
"171","ENSG00000166925","hurdle",0,-1.8425699,-0.8657024,0.9768675,0.587
"215","ENSG00000189058","hurdle",0,-1.8309177,-0.9407398,0.8901779,0.586
"124","ENSG00000143772","hurdle",0,-1.1086425,-0.5005285,0.608114,0.586
"6","ENSG00000010282","hurdle",0,-1.7877406,-0.6962709,1.0914697,0.586
"131","ENSG00000147588","hurdle",0,-2.137037,-1.025006,1.112031,0.584
"235","ENSG00000235903","hurdle",2.38500513181696e-238,-0.5822746,0.1817247,0.7639993,0.583
"234","ENSG00000235823","hurdle",1.99038546744245e-306,-1.3787656,-0.4756391,0.9031265,0.582
"199","ENSG00000181449","hurdle",0,-1.801143,-1.026894,0.774249,0.582
"168","ENSG00000166033","hurdle",1.2916440477305e-254,-1.0124175,-0.4242664,0.5881511,0.582
"116","ENSG00000139433","hurdle",1.29138481478998e-260,-1.2214627,-0.4699417,0.751521,0.582
"55","ENSG00000103550","hurdle",4.32321688440049e-309,-0.6125581,0.2282528,0.8408109,0.582
"191","ENSG00000175130","hurdle",2.70404165271553e-250,-1.1870196,-0.4037983,0.7832213,0.581
"182","ENSG00000170802","hurdle",6.84472565262227e-213,-0.64358998,0.01218495,0.65577493,0.581
"216","ENSG00000189067","hurdle",0,-2.573958,-1.358203,1.215755,0.579
"214","ENSG00000188706","hurdle",1.22092538166715e-260,-1.3107207,-0.5327354,0.7779853,0.579
"156","ENSG00000164050","hurdle",0,-2.212679,-1.246214,0.966465,0.579
"90","ENSG00000125703","hurdle",4.27524430525397e-174,0.09555488,0.64101621,0.54546133,0.579
"229","ENSG00000227110","hurdle",2.11522296761342e-167,0.9462032,1.5086134,0.5624102,0.578
"99","ENSG00000131095","hurdle",8.58984244852422e-261,-0.76529692,-0.07705668,0.68824024,0.578
"4","ENSG00000008311","hurdle",5.58621949622285e-294,-1.69787,-0.913544,0.784326,0.577
"59","ENSG00000105854","hurdle",0,-1.61027,-1.026085,0.584185,0.576
"184","ENSG00000171766","hurdle",5.08465664607572e-237,-1.4933969,-0.7416081,0.7517888,0.575
"17","ENSG00000057704","hurdle",7.22851930660259e-305,-1.3120569,-0.7598805,0.5521764,0.575
"153","ENSG00000160781","hurdle",0,-2.490609,-1.428466,1.062143,0.574
"38","ENSG00000085117","hurdle",0,-2.677941,-1.502703,1.175238,0.574
"142","ENSG00000152977","hurdle",0,-1.907029,-1.136752,0.770277,0.571
"103","ENSG00000133056","hurdle",2.22331651482862e-161,-0.60069487,-0.02223332,0.57846155,0.569
"43","ENSG00000095397","hurdle",2.45330462343153e-201,-1.2230144,-0.6175616,0.6054528,0.569
"251","ENSG00000266714","hurdle",7.55154901741808e-296,-2.230404,-1.347716,0.882688,0.568
"201","ENSG00000182185","hurdle",5.83658654727292e-144,0.02708546,0.63019056,0.6031051,0.568
"114","ENSG00000137269","hurdle",6.15473120347979e-161,-0.7086105,-0.1695013,0.5391092,0.568
"85","ENSG00000122591","hurdle",5.88145930912645e-197,-1.3062495,-0.6661181,0.6401314,0.567
"83","ENSG00000120690","hurdle",3.29458700471996e-207,-1.413946,-0.623058,0.790888,0.567
"63","ENSG00000107731","hurdle",3.72449541304744e-193,-1.4057,-0.846525,0.559175,0.566
"249","ENSG00000264522","hurdle",2.42017060284226e-129,-0.4755535,0.0482367,0.5237902,0.563
"30","ENSG00000076706","hurdle",3.92974323692453e-263,-2.262413,-1.442435,0.819978,0.562
"1","ENSG00000004864","hurdle",1.1572824512167e-170,0.07849982,0.74478951,0.66628969,0.562
"151","ENSG00000159228","hurdle",2.60170325136082e-181,-1.779671,-1.088079,0.691592,0.56
"82","ENSG00000119280","hurdle",1.23997632524171e-195,-1.898503,-1.174215,0.724288,0.56
"167","ENSG00000166016","hurdle",1.35912220239743e-216,-1.4211375,-0.4333581,0.9877794,0.558
"170","ENSG00000166912","hurdle",4.26656273328981e-117,-1.0589689,-0.5429252,0.5160437,0.556
"250","ENSG00000265972","hurdle",2.44409563015061e-272,-2.242343,-1.573066,0.669277,0.554
"197","ENSG00000180573","hurdle",1.24343430724305e-182,-2.216943,-1.497085,0.719858,0.548
"154","ENSG00000161671","hurdle",9.8595529573848e-170,-1.1951184,-0.5454356,0.6496828,0.546
"101","ENSG00000132561","hurdle",9.21914269130121e-101,-1.538685,-1.012396,0.526289,0.546
"32","ENSG00000079337","hurdle",3.35504064213503e-131,-2.181025,-1.628494,0.552531,0.543
