"","Gene","test.type","p_value","log2.mean.Cluster_Other","log2.mean.Oligo","log2fold_change","Auc"
"140","ENSG00000188153","hurdle",0,-2.247146,1.104294,3.35144,0.799
"78","ENSG00000146122","hurdle",0,-1.007506,1.397085,2.404591,0.795
"44","ENSG00000112531","hurdle",0,2.299633,4.186344,1.886711,0.794
"6","ENSG00000013297","hurdle",0,-2.4274018,0.8023442,3.229746,0.791
"131","ENSG00000183230","hurdle",0,2.133663,4.072911,1.939248,0.79
"93","ENSG00000158352","hurdle",0,-2.168727,1.184268,3.352995,0.788
"107","ENSG00000165959","hurdle",0,-0.7462591,1.6242575,2.3705166,0.787
"87","ENSG00000150867","hurdle",0,0.8911543,3.0655064,2.1743521,0.787
"146","ENSG00000198597","hurdle",0,1.018195,2.226918,1.208723,0.785
"160","ENSG00000259070","hurdle",0,-2.349797,1.060518,3.410315,0.78
"150","ENSG00000227088","hurdle",0,-1.723578,2.018795,3.742373,0.779
"122","ENSG00000173786","hurdle",0,-1.009864,1.286775,2.296639,0.778
"159","ENSG00000257585","hurdle",0,-0.8003324,1.9031034,2.7034358,0.774
"39","ENSG00000107317","hurdle",0,0.1625353,1.6815275,1.5189922,0.773
"26","ENSG00000086205","hurdle",0,-2.8446955,0.5828774,3.4275729,0.767
"25","ENSG00000084453","hurdle",0,-1.887211,0.721125,2.608336,0.767
"94","ENSG00000158865","hurdle",0,-2.392727,1.535176,3.927903,0.763
"74","ENSG00000141338","hurdle",0,-2.6131442,0.5917798,3.204924,0.762
"141","ENSG00000196187","hurdle",0,-2.4636293,0.5937116,3.0573409,0.761
"86","ENSG00000150760","hurdle",0,-0.5677434,1.3579925,1.9257359,0.761
"59","ENSG00000124920","hurdle",0,-2.6965037,0.3387699,3.0352736,0.761
"41","ENSG00000108381","hurdle",0,-2.6852562,0.4539458,3.139202,0.761
"29","ENSG00000099194","hurdle",0,-0.9581858,1.208309,2.1664948,0.759
"135","ENSG00000186417","hurdle",0,-1.127893,1.219101,2.346994,0.757
"36","ENSG00000105695","hurdle",0,-2.6960931,0.2078734,2.9039665,0.752
"3","ENSG00000011426","hurdle",0,-2.209453,0.5924826,2.8019356,0.751
"51","ENSG00000117266","hurdle",0,-0.9992528,1.1071857,2.1064385,0.75
"79","ENSG00000146592","hurdle",0,-0.05446593,1.74176746,1.79623339,0.745
"142","ENSG00000197430","hurdle",0,-2.7203083,0.3976577,3.117966,0.744
"4","ENSG00000012124","hurdle",0,-2.9367542,0.2043145,3.1410687,0.743
"164","ENSG00000286749","hurdle",0,-1.358484,2.098232,3.456716,0.742
"90","ENSG00000154864","hurdle",0,-1.7692698,0.8130118,2.5822816,0.741
"60","ENSG00000127946","hurdle",0,-0.296971,1.423541,1.720512,0.737
"115","ENSG00000169247","hurdle",0,-2.8646257,0.3108569,3.1754826,0.736
"97","ENSG00000162944","hurdle",0,-1.521035,0.717586,2.238621,0.736
"132","ENSG00000183580","hurdle",0,0.8514221,1.8709156,1.0194935,0.734
"69","ENSG00000136541","hurdle",0,-2.5914124,0.1459064,2.7373188,0.733
"56","ENSG00000122367","hurdle",0,-2.253173,0.4040771,2.6572501,0.733
"73","ENSG00000140479","hurdle",0,-0.5495974,1.4446151,1.9942125,0.732
"19","ENSG00000075651","hurdle",0,-1.03249,1.058548,2.091038,0.732
"8","ENSG00000028116","hurdle",0,-2.3585409,0.6946133,3.0531542,0.73
"163","ENSG00000285051","hurdle",0,-0.663016,1.73283,2.395846,0.728
"52","ENSG00000118322","hurdle",0,-1.601593,0.731531,2.333124,0.728
"65","ENSG00000135362","hurdle",0,-2.3343808,0.5369751,2.8713559,0.727
"111","ENSG00000167191","hurdle",0,-0.8030375,0.7943486,1.5973861,0.725
"75","ENSG00000141540","hurdle",0,-2.3515735,0.1969394,2.5485129,0.725
"77","ENSG00000145794","hurdle",0,-1.2199864,0.7378976,1.957884,0.724
"153","ENSG00000228793","hurdle",0,-2.449029,1.130359,3.579388,0.723
"10","ENSG00000064393","hurdle",0,0.5455761,1.8187893,1.2732132,0.723
"14","ENSG00000066468","hurdle",0,-0.4584806,1.2144855,1.6729661,0.722
"33","ENSG00000102934","hurdle",0,-2.312977,0.095235,2.408212,0.721
"7","ENSG00000019144","hurdle",0,-1.5207622,0.5429865,2.0637487,0.721
"15","ENSG00000070214","hurdle",0,1.954094,3.182618,1.228524,0.72
"24","ENSG00000081913","hurdle",0,1.359574,2.873892,1.514318,0.719
"31","ENSG00000100142","hurdle",0,-0.2639671,1.4582706,1.7222377,0.718
"152","ENSG00000227115","hurdle",0,-1.7348136,0.6600821,2.3948957,0.716
"103","ENSG00000165424","hurdle",0,-1.768838,0.1601984,1.9290364,0.712
"134","ENSG00000184144","hurdle",0,-0.9397218,0.7009816,1.6407034,0.71
"101","ENSG00000164176","hurdle",0,1.924798,2.872048,0.94725,0.71
"113","ENSG00000168297","hurdle",0,0.4421439,1.9742927,1.5321488,0.708
"120","ENSG00000172005","hurdle",0,-2.729311,-0.143962,2.585349,0.705
"157","ENSG00000253807","hurdle",0,-1.559444,1.096078,2.655522,0.703
"12","ENSG00000065361","hurdle",0,-2.6544213,-0.1642978,2.4901235,0.703
"124","ENSG00000176485","hurdle",0,-1.4945565,0.3529412,1.8474977,0.702
"121","ENSG00000172508","hurdle",0,-2.6166363,-0.1561586,2.4604777,0.699
"82","ENSG00000148180","hurdle",0,-0.9437369,0.7377388,1.6814757,0.698
"161","ENSG00000262223","hurdle",0,-2.6429024,-0.1102645,2.5326379,0.697
"83","ENSG00000149633","hurdle",0,-2.3590282,-0.1082646,2.2507636,0.696
"5","ENSG00000012171","hurdle",0,-2.5150212,-0.2315858,2.2834354,0.696
"148","ENSG00000213186","hurdle",0,-2.724698,-0.117286,2.607412,0.695
"99","ENSG00000164161","hurdle",0,-0.439931,1.126603,1.566534,0.694
"92","ENSG00000157483","hurdle",0,-1.0624703,0.6442397,1.70671,0.694
"64","ENSG00000134851","hurdle",0,0.5816819,2.0194481,1.4377662,0.692
"112","ENSG00000167641","hurdle",0,-2.446265,-0.165634,2.280631,0.691
"23","ENSG00000081479","hurdle",0,-2.6698572,0.1752887,2.8451459,0.69
"100","ENSG00000164171","hurdle",0,-2.81899002,0.07199021,2.89098023,0.685
"116","ENSG00000169504","hurdle",0,-1.708802,0.1126098,1.8214118,0.683
"118","ENSG00000170775","hurdle",0,-2.01783909,-0.08125366,1.93658543,0.682
"156","ENSG00000250722","hurdle",0,-2.4577019,-0.2113591,2.2463428,0.68
"48","ENSG00000115468","hurdle",0,-2.004434371,0.009819318,2.014253689,0.679
"40","ENSG00000107331","hurdle",0,-0.5617005,0.7130691,1.2747696,0.679
"128","ENSG00000181722","hurdle",0,2.155601,2.854944,0.699343,0.674
"43","ENSG00000109846","hurdle",0,-1.3203375,0.3141627,1.6345002,0.667
"2","ENSG00000005893","hurdle",0,-0.2829541,0.893205,1.1761591,0.667
"138","ENSG00000187164","hurdle",0,1.830681,2.572825,0.742144,0.666
"45","ENSG00000112851","hurdle",0,1.080638,2.163507,1.082869,0.663
"63","ENSG00000132199","hurdle",0,-1.324932,0.1643404,1.4892724,0.662
"54","ENSG00000118785","hurdle",0,-1.9663124,-0.2547838,1.7115286,0.662
"96","ENSG00000160307","hurdle",0,-1.8890872,-0.1684591,1.7206281,0.66
"58","ENSG00000124126","hurdle",0,-0.3880318,0.671934,1.0599658,0.66
"17","ENSG00000073417","hurdle",0,1.276093,2.323633,1.04754,0.659
"102","ENSG00000164627","hurdle",0,-1.0973498,0.4503642,1.547714,0.657
"20","ENSG00000078269","hurdle",0,0.3959321,1.2192713,0.8233392,0.657
"61","ENSG00000129422","hurdle",0,0.09318165,1.16260218,1.06942053,0.654
"143","ENSG00000197892","hurdle",0,-0.1871746,1.0553657,1.2425403,0.653
"50","ENSG00000117115","hurdle",0,-1.9338835,-0.3901968,1.5436867,0.652
"154","ENSG00000232310","hurdle",0,-2.5715084,-0.1617771,2.4097313,0.65
"84","ENSG00000150510","hurdle",0,-0.9072846,0.3819914,1.289276,0.648
"49","ENSG00000115935","hurdle",0,-1.52777675,-0.05515187,1.47262488,0.644
"162","ENSG00000275832","hurdle",0,-0.9686223,0.2307378,1.1993601,0.642
"119","ENSG00000171316","hurdle",0,-0.7421213,0.3113906,1.0535119,0.642
"117","ENSG00000170271","hurdle",0,-1.45061221,-0.06273929,1.38787292,0.642
"104","ENSG00000165478","hurdle",0,-2.0258131,-0.5887948,1.4370183,0.64
"127","ENSG00000180891","hurdle",0,-1.26197952,0.07009921,1.33207873,0.639
"95","ENSG00000159176","hurdle",0,-1.7173164,-0.3947164,1.3226,0.639
"67","ENSG00000135821","hurdle",0,-0.4190314,0.3468105,0.7658419,0.639
"149","ENSG00000224924","hurdle",0,-0.6760122,0.2349075,0.9109197,0.638
"22","ENSG00000080822","hurdle",0,-0.4896255,0.5520473,1.0416728,0.638
"66","ENSG00000135678","hurdle",0,-2.1442996,-0.4080094,1.7362902,0.636
"30","ENSG00000099954","hurdle",0,-1.295326,-0.0746838,1.2206422,0.635
"28","ENSG00000092871","hurdle",0,-0.2962708,0.8530792,1.14935,0.635
"42","ENSG00000108387","hurdle",0,-0.97857316,-0.00498799,0.97358517,0.632
"71","ENSG00000139737","hurdle",0,1.004921,1.943671,0.93875,0.63
"109","ENSG00000166348","hurdle",0,0.3096907,1.1963962,0.8867055,0.628
"46","ENSG00000112893","hurdle",0,2.050922,2.667497,0.616575,0.627
"105","ENSG00000165566","hurdle",0,-0.4153944,0.4913551,0.9067495,0.625
"38","ENSG00000107104","hurdle",0,-0.302702,0.4839883,0.7866903,0.624
"91","ENSG00000155849","hurdle",0,2.419413,2.962968,0.543555,0.616
"88","ENSG00000151552","hurdle",0,0.2213369,0.9589236,0.7375867,0.613
"32","ENSG00000102271","hurdle",0,-0.4259502,0.4859754,0.9119256,0.613
"155","ENSG00000244274","hurdle",0,-1.187308,-0.0795734,1.1077346,0.611
"53","ENSG00000118515","hurdle",1.56603839542606e-317,0.7359892,1.3053268,0.5693376,0.609
"16","ENSG00000070759","hurdle",0,-0.80763128,0.05232931,0.85996059,0.608
"18","ENSG00000075539","hurdle",1.83469864467777e-292,1.592956,2.24759,0.654634,0.607
"130","ENSG00000182957","hurdle",0,-0.4897589,0.2628799,0.7526388,0.606
"21","ENSG00000080815","hurdle",1.20074637976722e-285,0.3981208,1.0737907,0.6756699,0.601
"72","ENSG00000140262","hurdle",7.42525905447234e-257,1.971827,2.613058,0.641231,0.6
"139","ENSG00000187764","hurdle",2.19961928527315e-244,0.5422307,1.1200988,0.5778681,0.597
"126","ENSG00000178764","hurdle",2.32093559075054e-274,-0.1464678,0.3734296,0.5198974,0.594
"106","ENSG00000165795","hurdle",0,-1.2342212,-0.5619583,0.6722629,0.593
"136","ENSG00000187098","hurdle",0,-0.7816463,-0.1906562,0.5909901,0.587
"76","ENSG00000143772","hurdle",0,-1.1086425,-0.5005285,0.608114,0.586
"108","ENSG00000166033","hurdle",1.30288807338993e-254,-1.0124175,-0.4242664,0.5881511,0.582
"35","ENSG00000103550","hurdle",8.25998862106967e-309,-0.6125581,0.2282528,0.8408109,0.582
"151","ENSG00000227110","hurdle",2.13784367800557e-167,0.9462032,1.5086134,0.5624102,0.578
"62","ENSG00000131095","hurdle",8.74148163287947e-261,-0.76529692,-0.07705668,0.68824024,0.578
"37","ENSG00000105854","hurdle",0,-1.61027,-1.026085,0.584185,0.576
"129","ENSG00000182185","hurdle",6.12342650057438e-144,0.02708546,0.63019056,0.6031051,0.568
"55","ENSG00000120690","hurdle",3.56758795114409e-207,-1.413946,-0.623058,0.790888,0.567
"1","ENSG00000004864","hurdle",1.46666603829226e-170,0.07849982,0.74478951,0.66628969,0.562
