"","Gene","test.type","p_value","log2.mean.Cluster_Other","log2.mean.Astro","log2fold_change","Auc"
"358","ENSG00000162390","hurdle",0,-0.6525057,1.3241598,1.9766655,0.752
"30","ENSG00000064655","hurdle",0,-2.0391538,0.7250018,2.7641556,0.752
"226","ENSG00000135063","hurdle",0,-2.248332,1.018356,3.266688,0.75
"294","ENSG00000147509","hurdle",0,-1.841739,1.301391,3.14313,0.745
"90","ENSG00000101542","hurdle",0,1.369888,3.061005,1.691117,0.743
"377","ENSG00000164188","hurdle",0,-1.800065,1.168821,2.968886,0.742
"277","ENSG00000143772","hurdle",0,-1.393401,1.153581,2.546982,0.742
"56","ENSG00000080493","hurdle",0,0.5778103,2.6054172,2.0276069,0.741
"143","ENSG00000114790","hurdle",0,-1.838982,0.9486816,2.7876636,0.738
"469","ENSG00000183579","hurdle",0,0.2454721,2.4253049,2.1798328,0.737
"290","ENSG00000146005","hurdle",0,-1.713564,0.774592,2.488156,0.736
"117","ENSG00000107249","hurdle",0,1.343215,2.502195,1.15898,0.734
"236","ENSG00000135821","hurdle",0,-0.6570078,1.880413,2.5374208,0.733
"285","ENSG00000144908","hurdle",0,-2.727902,0.29119,3.019092,0.732
"25","ENSG00000056487","hurdle",0,-1.753058,0.68271,2.435768,0.732
"392","ENSG00000165795","hurdle",0,-1.3485274,0.6255743,1.9741017,0.73
"543","ENSG00000236197","hurdle",0,-0.425901,2.254906,2.680807,0.728
"376","ENSG00000164089","hurdle",0,-2.7910158,0.6765982,3.467614,0.728
"429","ENSG00000171885","hurdle",0,-1.397452,1.388033,2.785485,0.727
"257","ENSG00000139155","hurdle",0,-2.3041379,0.8033403,3.1074782,0.726
"144","ENSG00000115380","hurdle",0,-2.6191636,0.6892458,3.3084094,0.726
"535","ENSG00000231252","hurdle",0,-2.6063811,0.6606312,3.2670123,0.725
"476","ENSG00000184384","hurdle",0,0.7147564,2.3417261,1.6269697,0.724
"498","ENSG00000197360","hurdle",0,-1.223515,2.19147,3.414985,0.723
"72","ENSG00000092820","hurdle",0,-2.5750757,0.4659499,3.0410256,0.723
"83","ENSG00000100767","hurdle",0,-2.98766836,0.05788682,3.04555518,0.72
"128","ENSG00000110693","hurdle",0,1.118787,1.749805,0.631018,0.719
"572","ENSG00000262655","hurdle",0,-0.1243575,1.4249606,1.5493181,0.716
"522","ENSG00000215244","hurdle",0,-2.5219928,0.2185751,2.7405679,0.714
"220","ENSG00000134569","hurdle",0,-2.0179511,0.4402596,2.4582107,0.714
"506","ENSG00000198838","hurdle",0,1.842725,2.81983,0.977105,0.713
"116","ENSG00000107104","hurdle",0,-0.4317121,1.737571,2.1692831,0.713
"203","ENSG00000131095","hurdle",0,-1.045939,1.55799,2.603929,0.71
"265","ENSG00000141469","hurdle",0,-2.7687323,0.7042334,3.4729657,0.709
"291","ENSG00000146122","hurdle",0,-0.3373256,1.3034493,1.6407749,0.707
"248","ENSG00000137693","hurdle",0,-2.5044117,0.2506233,2.755035,0.705
"552","ENSG00000243069","hurdle",0,-1.6314468,0.6923904,2.3238372,0.704
"323","ENSG00000152661","hurdle",0,-2.480275,0.273001,2.753276,0.704
"92","ENSG00000101680","hurdle",0,-2.93962269,0.02298462,2.96260731,0.704
"109","ENSG00000105854","hurdle",0,-1.841542,0.5007034,2.3422454,0.702
"106","ENSG00000104313","hurdle",0,-2.1013909,0.4847274,2.5861183,0.7
"325","ENSG00000152990","hurdle",0,-1.10073,1.022824,2.123554,0.699
"455","ENSG00000178764","hurdle",0,-0.2429657,1.4580664,1.7010321,0.698
"433","ENSG00000172201","hurdle",0,-2.3074008,0.5597006,2.8671014,0.697
"355","ENSG00000161509","hurdle",0,-2.87606848,-0.08593856,2.79012992,0.697
"387","ENSG00000165092","hurdle",0,-1.8606878,0.8262197,2.6869075,0.696
"113","ENSG00000106278","hurdle",0,1.263351,2.212275,0.948924,0.696
"326","ENSG00000153208","hurdle",0,-1.33834,0.765876,2.104216,0.695
"89","ENSG00000101439","hurdle",0,-0.3172133,1.2048147,1.522028,0.695
"169","ENSG00000123104","hurdle",0,1.45927,2.236636,0.777366,0.694
"198","ENSG00000130203","hurdle",0,-1.4832551,0.6215736,2.1048287,0.693
"467","ENSG00000182175","hurdle",0,-1.4048594,0.3696151,1.7744745,0.691
"529","ENSG00000227036","hurdle",0,0.2138147,1.6042788,1.3904641,0.688
"528","ENSG00000226476","hurdle",0,-0.8641773,0.9872354,1.8514127,0.688
"459","ENSG00000179604","hurdle",0,-2.509413,0.1239256,2.6333386,0.687
"292","ENSG00000146648","hurdle",0,-0.5856171,0.8204825,1.4060996,0.687
"237","ENSG00000135838","hurdle",0,-1.3970898,0.6652112,2.062301,0.687
"286","ENSG00000145555","hurdle",0,-1.149976,0.714434,1.86441,0.686
"533","ENSG00000229847","hurdle",0,-2.46410261,-0.02822909,2.43587352,0.682
"474","ENSG00000184232","hurdle",0,-2.6433545,-0.1789223,2.4644322,0.682
"86","ENSG00000101144","hurdle",0,-2.418554,-0.1006368,2.3179172,0.682
"361","ENSG00000162599","hurdle",0,1.812537,2.945075,1.132538,0.681
"314","ENSG00000150760","hurdle",0,-0.0609425,1.0710798,1.1320223,0.681
"131","ENSG00000111907","hurdle",0,-1.2584794,0.9398254,2.1983048,0.681
"464","ENSG00000181722","hurdle",0,2.149772,3.620769,1.470997,0.679
"486","ENSG00000186998","hurdle",0,-2.0721898,-0.0226936,2.0494962,0.678
"480","ENSG00000185650","hurdle",0,-1.8466755,0.5238362,2.3705117,0.678
"155","ENSG00000117525","hurdle",0,-2.7732367,-0.1312842,2.6419525,0.678
"578","ENSG00000271904","hurdle",0,-1.349928,0.803548,2.153476,0.677
"446","ENSG00000176771","hurdle",0,1.253328,1.96856,0.715232,0.677
"390","ENSG00000165478","hurdle",0,-1.87121169,0.03895401,1.9101657,0.677
"276","ENSG00000143603","hurdle",0,-0.4406036,0.9916183,1.4322219,0.677
"241","ENSG00000136205","hurdle",0,-1.5307689,0.3056365,1.8364054,0.675
"82","ENSG00000100427","hurdle",0,-2.875463,-0.4901262,2.3853368,0.674
"588","ENSG00000286288","hurdle",0,-0.3499915,1.2580858,1.6080773,0.673
"340","ENSG00000154856","hurdle",0,-2.11526276,-0.03861919,2.07664357,0.673
"321","ENSG00000152284","hurdle",0,-2.00310496,0.03471276,2.03781772,0.673
"19","ENSG00000031081","hurdle",0,-1.6680278,0.1342036,1.8022314,0.672
"288","ENSG00000145794","hurdle",0,-0.776078,0.8323416,1.6084196,0.671
"490","ENSG00000188039","hurdle",0,-2.7553028,-0.1444491,2.6108537,0.67
"217","ENSG00000134376","hurdle",0,-0.1617022,1.4860353,1.6477375,0.67
"289","ENSG00000145832","hurdle",0,-2.1327621,-0.1002481,2.032514,0.669
"142","ENSG00000114698","hurdle",0,-2.38973642,-0.09365579,2.29608063,0.669
"399","ENSG00000166839","hurdle",0,-0.08267503,1.10872307,1.1913981,0.667
"52","ENSG00000079335","hurdle",0,-1.7614238,0.1905724,1.9519962,0.665
"316","ENSG00000150907","hurdle",0,-0.1024356,1.3141334,1.416569,0.664
"211","ENSG00000132669","hurdle",0,-0.1955611,1.0364991,1.2320602,0.664
"280","ENSG00000144040","hurdle",9.00668212335772e-300,1.225647,2.265125,1.039478,0.663
"180","ENSG00000125148","hurdle",0,-1.6405055,0.1328815,1.773387,0.663
"74","ENSG00000099139","hurdle",0,-0.04182341,0.7840982,0.82592161,0.661
"398","ENSG00000166689","hurdle",0,-1.6046073,0.2138935,1.8185008,0.66
"216","ENSG00000134250","hurdle",0,-1.92993019,-0.01168593,1.91824426,0.659
"453","ENSG00000178075","hurdle",0,-1.4185393,0.3418477,1.760387,0.658
"584","ENSG00000279082","hurdle",0,-3.04053326,0.03294188,3.07347514,0.657
"301","ENSG00000148482","hurdle",0,-3.0897799,-0.3775076,2.7122723,0.657
"208","ENSG00000132470","hurdle",0,-3.008759,-0.59083,2.417929,0.656
"135","ENSG00000113594","hurdle",0,0.1273189,1.4972526,1.3699337,0.656
"53","ENSG00000079337","hurdle",0,-2.2887394,-0.4911451,1.7975943,0.656
"388","ENSG00000165449","hurdle",0,-2.50581658,0.02476775,2.53058433,0.655
"344","ENSG00000156049","hurdle",0,-1.1811238,0.7037883,1.8849121,0.655
"132","ENSG00000111961","hurdle",4.74806979822977e-303,0.9143402,2.111419,1.1970788,0.655
"235","ENSG00000135744","hurdle",0,-2.7726729,-0.4593908,2.3132821,0.654
"218","ENSG00000134508","hurdle",0,-0.1583228,1.804908,1.9632308,0.654
"27","ENSG00000058866","hurdle",2.92474851606754e-306,0.9218052,1.476425,0.5546198,0.653
"563","ENSG00000253944","hurdle",0,-2.6641185,-0.2487186,2.4153999,0.651
"463","ENSG00000181449","hurdle",0,-1.8291783,-0.1237586,1.7054197,0.649
"210","ENSG00000132613","hurdle",0,-0.7008955,0.6702326,1.3711281,0.649
"69","ENSG00000091656","hurdle",1.75680573488634e-303,0.2252681,1.1247738,0.8995057,0.648
"404","ENSG00000167614","hurdle",4.23260263246983e-256,-0.2958576,0.6042669,0.9001245,0.647
"395","ENSG00000165895","hurdle",0,-1.236738,0.163311,1.400049,0.647
"375","ENSG00000164050","hurdle",0,-2.166311,-0.5430294,1.6232816,0.647
"363","ENSG00000162944","hurdle",0,-0.8752814,0.381632,1.2569134,0.647
"174","ENSG00000124145","hurdle",0,-3.0054436,-0.7240314,2.2814122,0.646
"129","ENSG00000111058","hurdle",0,-1.3904427,0.2460447,1.6364874,0.646
"252","ENSG00000138685","hurdle",0,-2.00509035,-0.05058593,1.95450442,0.645
"243","ENSG00000136869","hurdle",0,-2.8382149,-0.5472619,2.290953,0.644
"6","ENSG00000007372","hurdle",0,-2.8352684,-0.6856187,2.1496497,0.644
"448","ENSG00000177133","hurdle",0,-3.12413,-0.726429,2.397701,0.643
"200","ENSG00000130413","hurdle",3.42867474578675e-300,-0.4098847,0.7530251,1.1629098,0.643
"318","ENSG00000151322","hurdle",8.14521555218931e-240,3.603628,4.716359,1.112731,0.642
"425","ENSG00000171444","hurdle",9.36756060457842e-259,0.03170468,1.05267006,1.02096538,0.641
"442","ENSG00000174705","hurdle",1.32063747133365e-319,-1.1082983,0.2044844,1.3127827,0.64
"537","ENSG00000233237","hurdle",7.16050657523598e-287,-0.6855572,0.5799745,1.2655317,0.639
"371","ENSG00000163453","hurdle",0,-1.54867614,-0.09481694,1.4538592,0.639
"364","ENSG00000163110","hurdle",1.98796979607362e-280,-0.4064183,0.6203948,1.0268131,0.639
"308","ENSG00000148737","hurdle",7.69779484043705e-214,0.7014766,1.5113117,0.8098351,0.639
"513","ENSG00000205683","hurdle",1.42114424909736e-275,-0.692517,0.4447952,1.1373122,0.638
"138","ENSG00000113721","hurdle",0,-1.4116466,-0.1480604,1.2635862,0.638
"98","ENSG00000102935","hurdle",2.48873259613294e-298,-0.9589166,0.2170163,1.1759329,0.638
"64","ENSG00000087903","hurdle",8.36956803283418e-309,-1.1157275,0.1590958,1.2748233,0.638
"251","ENSG00000138639","hurdle",3.38527713605696e-298,1.094115,1.823467,0.729352,0.637
"32","ENSG00000066468","hurdle",1.99481649783571e-243,-0.06539524,1.05877476,1.12417,0.637
"409","ENSG00000168077","hurdle",0,-2.0702255,-0.4215059,1.6487196,0.636
"411","ENSG00000168309","hurdle",0,-1.6685521,-0.1727786,1.4957735,0.634
"232","ENSG00000135424","hurdle",0,-1.97754,-0.536178,1.441362,0.634
"139","ENSG00000113916","hurdle",0,-1.198625,0.297104,1.495729,0.634
"444","ENSG00000175287","hurdle",0,-2.8390017,-0.7952325,2.0437692,0.633
"419","ENSG00000170075","hurdle",0,-2.5183648,-0.6832879,1.8350769,0.633
"182","ENSG00000125398","hurdle",0,-2.4333301,-0.5132271,1.920103,0.633
"521","ENSG00000214456","hurdle",0,-2.9455416,-0.8867949,2.0587467,0.632
"402","ENSG00000167191","hurdle",8.21774184787229e-235,-0.4344221,0.6342435,1.0686656,0.632
"255","ENSG00000138771","hurdle",3.54068315647052e-220,0.7277324,1.4575384,0.729806,0.632
"187","ENSG00000126785","hurdle",0,-1.592864647,-0.0007616133,1.5921030337,0.632
"3","ENSG00000004468","hurdle",0,-2.988541,-0.6665015,2.3220395,0.632
"510","ENSG00000205336","hurdle",0,-1.7968128,-0.3671822,1.4296306,0.631
"110","ENSG00000105894","hurdle",2.00159218886916e-251,0.008630086,1.268959426,1.26032934,0.631
"8","ENSG00000008311","hurdle",0,-1.683754,-0.1879806,1.4957734,0.631
"391","ENSG00000165730","hurdle",1.33257903799363e-318,-1.2076147,0.2316035,1.4392182,0.63
"193","ENSG00000128849","hurdle",0,-1.856201,-0.4219915,1.4342095,0.629
"93","ENSG00000101849","hurdle",9.95018595973318e-236,-0.6007992,0.482653,1.0834522,0.629
"60","ENSG00000083857","hurdle",2.96439387504748e-323,-1.50174621,-0.08979201,1.4119542,0.628
"462","ENSG00000180537","hurdle",0,-2.1016269,-0.2096199,1.892007,0.626
"178","ENSG00000124942","hurdle",0,-2.2703163,-0.7121028,1.5582135,0.626
"305","ENSG00000148672","hurdle",0,0.1082117,1.3565205,1.2483088,0.625
"485","ENSG00000186951","hurdle",0,-2.013614,-0.516854,1.49676,0.623
"432","ENSG00000172164","hurdle",0,-2.0880019,-0.4123087,1.6756932,0.623
"349","ENSG00000159176","hurdle",7.03446411869894e-274,-1.4774244,-0.2712958,1.2061286,0.623
"304","ENSG00000148660","hurdle",2.81103743251456e-160,1.447552,1.949536,0.501984,0.623
"238","ENSG00000136002","hurdle",4.19102193960371e-216,0.7147731,1.7918782,1.0771051,0.623
"78","ENSG00000099954","hurdle",7.57947698943688e-253,-1.1007303,0.1581213,1.2588516,0.623
"504","ENSG00000198520","hurdle",1.81969460150164e-239,-1.20558394,-0.07979435,1.12578959,0.621
"107","ENSG00000104447","hurdle",5.5716731405985e-164,1.393786,2.287355,0.893569,0.621
"496","ENSG00000196935","hurdle",1.77316269549204e-182,-0.06358376,0.63611109,0.69969485,0.62
"427","ENSG00000171612","hurdle",0,-0.9938648,0.4588448,1.4527096,0.62
"88","ENSG00000101400","hurdle",4.07287020666007e-255,-1.05145671,0.09230471,1.14376142,0.62
"407","ENSG00000167772","hurdle",0,-2.94321343,0.01905396,2.96226739,0.619
"520","ENSG00000214402","hurdle",0,-2.4083,-0.905011,1.503289,0.618
"523","ENSG00000221932","hurdle",0,-2.518995,-0.637446,1.881549,0.617
"484","ENSG00000186815","hurdle",3.45272770515093e-215,-0.213909,0.7807254,0.9946344,0.616
"295","ENSG00000147576","hurdle",1.15520396848532e-281,-1.5022135,-0.2303123,1.2719012,0.616
"194","ENSG00000129151","hurdle",0,-2.9415226,-0.8503846,2.091138,0.616
"452","ENSG00000177807","hurdle",1.69680613201351e-306,-2.003987,-0.5902841,1.4137029,0.615
"299","ENSG00000148400","hurdle",0,-2.4181131,-0.9063695,1.5117436,0.615
"141","ENSG00000114315","hurdle",0,-2.4162038,-0.4459929,1.9702109,0.615
"413","ENSG00000168710","hurdle",1.43872883345449e-218,0.3294491,1.2586921,0.929243,0.614
"161","ENSG00000119938","hurdle",0,-2.6375252,-0.2656183,2.3719069,0.614
"240","ENSG00000136160","hurdle",0,-2.5600794,-0.6139498,1.9461296,0.613
"97","ENSG00000102362","hurdle",0,-2.9559585,-0.7795876,2.1763709,0.613
"73","ENSG00000092969","hurdle",9.92382138795005e-248,-1.4182453,-0.1233636,1.2948817,0.612
"249","ENSG00000137936","hurdle",8.17203432589805e-183,-0.8137649,0.1427678,0.9565327,0.611
"527","ENSG00000225472","hurdle",0,-2.737589,-0.8595659,1.8780231,0.61
"368","ENSG00000163406","hurdle",1.80365166071737e-251,-1.26579992,-0.01168593,1.25411399,0.61
"101","ENSG00000103528","hurdle",5.80889313518992e-186,-0.62104,0.1155832,0.7366232,0.61
"49","ENSG00000078246","hurdle",1.05630620763531e-290,-1.498169,-0.186742,1.311427,0.61
"534","ENSG00000231064","hurdle",0,-2.859211,-1.061177,1.798034,0.609
"312","ENSG00000149633","hurdle",3.93531319943147e-251,-1.6878232,-0.5594999,1.1283233,0.609
"75","ENSG00000099204","hurdle",5.75750904448099e-174,2.368479,3.023685,0.655206,0.609
"20","ENSG00000041982","hurdle",0,-2.6017,0.314702,2.916402,0.609
"199","ENSG00000130287","hurdle",3.19992721880931e-150,-0.2082435,0.6335425,0.841786,0.608
"196","ENSG00000129244","hurdle",3.39454317600161e-174,-0.89892826,-0.03007899,0.86884927,0.608
"67","ENSG00000089472","hurdle",0,-2.5608904,-0.8425612,1.7183292,0.608
"282","ENSG00000144649","hurdle",3.73472587086992e-234,-1.5567428,-0.2769957,1.2797471,0.607
"567","ENSG00000256463","hurdle",0,-2.992693,-1.163856,1.828837,0.606
"557","ENSG00000248429","hurdle",5.9202828065196e-250,-1.4103304,-0.4079725,1.0023579,0.606
"386","ENSG00000165029","hurdle",3.51188683199677e-206,-1.3216119,-0.1699205,1.1516914,0.606
"207","ENSG00000132321","hurdle",7.58256856892192e-144,-0.1161685,0.6601724,0.7763409,0.606
"201","ENSG00000130787","hurdle",3.91942540371137e-157,-0.4382918,0.3501204,0.7884122,0.606
"577","ENSG00000271447","hurdle",0,-2.4093222,-0.9653226,1.4439996,0.605
"108","ENSG00000105088","hurdle",2.85738708838054e-151,-0.08535642,0.83600228,0.9213587,0.604
"336","ENSG00000154274","hurdle",0,-2.5188375,-0.7808329,1.7380046,0.603
"512","ENSG00000205517","hurdle",0,-2.992475,-1.269153,1.723322,0.602
"443","ENSG00000174776","hurdle",0,-2.2973639,-0.1316814,2.1656825,0.602
"322","ENSG00000152518","hurdle",1.76381435565325e-321,-2.2841784,-0.6613313,1.6228471,0.602
"136","ENSG00000113645","hurdle",8.71097938509119e-158,0.1298844,0.7022292,0.5723448,0.602
"4","ENSG00000004799","hurdle",0,-2.61191751,0.04177459,2.6536921,0.602
"2","ENSG00000003989","hurdle",0,-2.5513493,-0.7752372,1.7761121,0.602
"507","ENSG00000203876","hurdle",1.10623157130385e-218,-1.5166172,-0.3509061,1.1657111,0.601
"148","ENSG00000116132","hurdle",2.75387254662545e-198,-0.93222653,0.01511256,0.94733909,0.601
"501","ENSG00000197977","hurdle",3.10616288863502e-297,-2.1284274,-0.6430972,1.4853302,0.6
"250","ENSG00000138185","hurdle",1.37214670707628e-265,-1.98972,-0.5090931,1.4806269,0.6
"224","ENSG00000134824","hurdle",1.08164164532532e-222,-1.01966708,0.07966559,1.09933267,0.6
"222","ENSG00000134769","hurdle",1.29295293852265e-125,3.204728,3.753582,0.548854,0.6
"68","ENSG00000091409","hurdle",4.70130823219185e-222,-1.7145566,-0.6217394,1.0928172,0.6
"412","ENSG00000168461","hurdle",7.94748002868614e-151,-0.7667847,0.1108903,0.877675,0.599
"366","ENSG00000163285","hurdle",2.35027957385256e-210,-1.4954528,-0.4559053,1.0395475,0.599
"345","ENSG00000156076","hurdle",0,-2.1878232,-0.1520837,2.0357395,0.599
"59","ENSG00000082781","hurdle",2.98075810807322e-241,-1.937915,-0.711509,1.226406,0.599
"438","ENSG00000173905","hurdle",6.51708825528526e-133,-0.4956389,0.2013343,0.6969732,0.598
"421","ENSG00000170370","hurdle",0,-2.914113,-1.312622,1.601491,0.598
"275","ENSG00000143514","hurdle",3.52007009703919e-192,-1.6177115,-0.5393361,1.0783754,0.598
"549","ENSG00000241316","hurdle",1.74617979609669e-176,-1.20844047,-0.03675832,1.17168215,0.597
"225","ENSG00000134873","hurdle",0,-2.772673,-1.048372,1.724301,0.597
"420","ENSG00000170345","hurdle",1.26843689729824e-249,-1.4203781,0.2897077,1.7100858,0.596
"367","ENSG00000163346","hurdle",0,-2.569842,-1.174455,1.395387,0.596
"163","ENSG00000121310","hurdle",3.54207542412139e-117,-0.3998008,0.312368,0.7121688,0.595
"121","ENSG00000108370","hurdle",2.69439303512156e-279,-2.2835089,-0.8072371,1.4762718,0.595
"11","ENSG00000011201","hurdle",9.70514779521012e-204,-1.4683419,-0.4814946,0.9868473,0.595
"122","ENSG00000109062","hurdle",0,-2.845904,-1.280559,1.565345,0.594
"478","ENSG00000185432","hurdle",2.86402394863586e-313,-2.423266,-1.018684,1.404582,0.593
"338","ENSG00000154319","hurdle",0,-2.816939,-1.258704,1.558235,0.593
"165","ENSG00000122756","hurdle",1.29990468531046e-227,-2.0020031,-0.7758579,1.2261452,0.593
"530","ENSG00000227640","hurdle",0,-2.982878,-1.001887,1.980991,0.592
"247","ENSG00000137561","hurdle",0,-2.80536,-1.149306,1.656054,0.592
"403","ENSG00000167601","hurdle",3.78474713681975e-304,-2.608727,-1.240599,1.368128,0.591
"348","ENSG00000158467","hurdle",5.26545835557757e-106,1.700286,2.602256,0.90197,0.591
"63","ENSG00000087266","hurdle",0,-2.905228,-1.438652,1.466576,0.591
"416","ENSG00000169439","hurdle",2.58170017679398e-158,-1.3365338,-0.2712958,1.065238,0.59
"400","ENSG00000166925","hurdle",1.66332097284589e-162,-1.6856987,-0.7475797,0.938119,0.589
"62","ENSG00000084636","hurdle",1.34619635479981e-141,-1.5046302,-0.6544665,0.8501637,0.589
"435","ENSG00000172728","hurdle",8.51820985659606e-183,-1.3567431,-0.1983436,1.1583995,0.588
"382","ENSG00000164877","hurdle",1.004865586191e-126,-1.2915501,-0.4982976,0.7932525,0.588
"202","ENSG00000130876","hurdle",0,-3.168188,-1.599649,1.568539,0.588
"548","ENSG00000241231","hurdle",0,-2.3714086,-0.2294618,2.1419468,0.587
"461","ENSG00000180263","hurdle",2.64947395448198e-116,-0.2264328,0.2795874,0.5060202,0.587
"337","ENSG00000154310","hurdle",2.07178031922453e-111,2.753403,3.354299,0.600896,0.587
"574","ENSG00000263400","hurdle",3.84269014591764e-302,-2.698868,-1.232909,1.465959,0.586
"300","ENSG00000148411","hurdle",4.03810284536996e-137,-1.3423089,-0.4588924,0.8834165,0.586
"177","ENSG00000124782","hurdle",3.4291456451187e-190,-1.7386714,-0.8257547,0.9129167,0.586
"38","ENSG00000069702","hurdle",2.77204271497231e-158,-1.658448,-0.6544665,1.0039815,0.586
"570","ENSG00000259417","hurdle",1.87426698010273e-225,-1.9079909,-0.8174243,1.0905666,0.584
"204","ENSG00000131941","hurdle",0,-2.774177,-1.230355,1.543822,0.584
"126","ENSG00000110090","hurdle",1.5631652848658e-158,-1.7403241,-0.8569367,0.8833874,0.584
"66","ENSG00000088826","hurdle",1.87548054230238e-256,-2.467596,-1.205057,1.262539,0.584
"39","ENSG00000070759","hurdle",2.36400597414926e-108,-0.65718124,0.02583657,0.68301781,0.584
"173","ENSG00000124126","hurdle",9.53757024188124e-88,-0.169536,0.4711904,0.6407264,0.583
"319","ENSG00000151929","hurdle",2.33810959802706e-294,-2.5793421,-0.9379741,1.641368,0.582
"256","ENSG00000139132","hurdle",1.23433543736376e-91,0.3716508,1.0880642,0.7164134,0.582
"167","ENSG00000123094","hurdle",8.54451748775976e-95,-0.4263443,0.2870357,0.71338,0.582
"80","ENSG00000100033","hurdle",0,-3.188851,-1.668287,1.520564,0.582
"44","ENSG00000074964","hurdle",6.9108629260704e-92,-0.65848269,-0.02490525,0.63357744,0.582
"505","ENSG00000198795","hurdle",1.11979892670013e-92,-0.3467709,0.2947413,0.6415122,0.581
"104","ENSG00000103811","hurdle",1.13356672993347e-269,-2.356264,-1.007707,1.348557,0.581
"573","ENSG00000263146","hurdle",0,-3.103422,-1.635248,1.468174,0.58
"244","ENSG00000137033","hurdle",0,-3.113858,-1.464435,1.649423,0.58
"583","ENSG00000276649","hurdle",2.76097328385479e-137,-1.8161448,-0.8962115,0.9199333,0.579
"576","ENSG00000270629","hurdle",1.43137322575695e-306,-2.912663,-1.616227,1.296436,0.579
"471","ENSG00000183762","hurdle",2.10615906104417e-153,-1.6805774,-0.6222974,1.05828,0.578
"440","ENSG00000174306","hurdle",4.13051089425141e-74,1.262835,1.882283,0.619448,0.578
"347","ENSG00000157833","hurdle",0,-2.953401,-1.588702,1.364699,0.578
"115","ENSG00000106624","hurdle",0,-3.102713,-1.558485,1.544228,0.578
"422","ENSG00000170425","hurdle",0,-3.076034,-1.567054,1.50898,0.577
"158","ENSG00000119408","hurdle",1.34679913451279e-103,-1.3821766,-0.6693818,0.7127948,0.577
"48","ENSG00000077942","hurdle",4.94065645841247e-324,-2.920344,-1.507082,1.413262,0.577
"546","ENSG00000239381","hurdle",4.47800143751991e-134,-1.6165306,-0.5777832,1.0387474,0.576
"540","ENSG00000235545","hurdle",4.50292885729741e-222,-2.475374,-1.187609,1.287765,0.576
